,snowboard,carrot,keyboard,cell phone,sports ball,clock,bus,person,surfboard,refrigerator,knife,backpack,dog,cup,bear,tie,banana,baseball glove,tv,microwave,bowl,fork,couch,umbrella,kite,train,remote,cost,oven,bicycle,skis,orange,sink,sheep,spoon,traffic light,airplane,teddy bear,laptop,giraffe,bed,mouse,hair dryer,donut,chair,boat,cake,scissors,stop sign,toilet,book,bench,broccoli,elephant,frisbee,apple,toothbrush,parking meter,bottle,cow,pizza,car,dining table,sandwich,handbag,hot dog,horse,bird,suitcase,skateboard,vase,tennis racket,toaster,zebra,fire hydrant,motorcycle,cat,potted plant,wine glass,baseball bat,truck
model_136,0.43,,,0.47,,0.67,,,,,,,,0.55,,,,,,,,,,,0.6,,,48.0,0.47,0.62,,0.5,0.54,,,0.55,,,0.55,,,,,0.53,,,0.5,,0.63,,0.36,,,,,,0.24,0.38,,,,,,,,,,,,,,,,,,,,,,0.54,
model_72,,,,0.56,0.68,,,,,0.7,,,,,,0.68,,,,0.73,,,,,,,,80.0,,,,,0.68,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,0.79,,,,,,,,,
model_60,,0.48,,0.51,0.64,,0.7,,0.66,,0.47,,,,,0.64,0.53,,,,,0.59,,,0.67,,,59.0,0.54,,0.64,,,0.7,,0.6,0.82,0.67,0.68,,,0.68,0.11,0.72,,0.59,0.59,,,,,,,,0.66,,,,0.58,,,,0.48,0.41,,0.41,,,0.58,0.76,,0.76,0.32,,0.69,0.66,,,0.51,0.62,0.42
model_31,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,0.61,,0.71,,,,,,,
model_88,,,0.61,,0.65,,,0.75,0.71,0.56,0.53,,0.66,,,,0.47,,,,0.55,,,0.67,,0.78,,67.0,0.58,0.63,,,0.66,,0.46,,0.81,0.71,,,,,0.12,,0.55,0.57,0.64,0.21,0.68,0.7,0.4,,0.51,,0.8,0.38,0.37,0.41,0.6,0.74,0.66,,0.53,0.42,0.43,0.51,,0.52,,0.76,,,0.21,,,,,0.58,0.6,0.68,0.48
model_53,,,,,,,,,,,,,,,0.45,,0.43,,,0.32,,,,0.55,,,,33.0,,,,,0.49,,,,,0.54,0.48,0.68,,,,0.55,0.46,,,,,,,,,,,,0.17,,,,,,,,,,,0.44,,,,,,,,0.58,0.6,,,,
model_134,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,
model_122,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_80,0.52,0.45,0.61,0.55,0.64,,0.71,0.74,,,0.51,0.39,0.68,,,,,0.52,0.6,0.34,,,,,0.65,0.69,,60.0,,,0.58,0.54,,0.61,0.45,0.56,0.71,0.73,,,0.56,0.7,,,0.53,,0.59,,0.59,0.64,,,0.5,,,,0.3,0.42,0.59,0.69,,0.66,0.53,,,0.47,,,,0.67,,0.75,,,0.68,0.71,0.75,,,,0.46
model_149,0.47,,,,,,,0.72,,0.49,,,0.54,,0.52,,,,,,0.51,,0.37,,,0.66,0.53,61.0,0.47,,0.47,,,0.61,,,,,0.5,,0.53,,,0.49,,,,0.19,0.51,0.59,,0.4,,,,0.31,,0.36,,0.62,0.58,0.64,0.49,0.32,,,0.64,,0.56,,0.43,0.67,,,,,,,0.5,,
model_51,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_91,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,44.0,,0.64,,,,,,,,,,,,0.56,0.07,,,,,0.17,,,,,,,,,,,,,,,,0.36,,0.47,,,,,0.48,,,,,,,,,,
model_109,0.52,,0.47,0.48,,0.67,,0.71,0.62,,0.38,,,,0.58,0.53,0.47,0.44,,0.46,,,,,,0.7,0.52,44.0,0.43,,0.54,0.48,0.6,,,,,0.66,,,0.54,,0.0,0.62,0.47,,,0.16,,0.71,0.32,0.42,0.47,0.79,,0.28,,0.46,0.53,,0.58,0.62,0.47,0.42,,,0.7,,,0.62,,0.63,,0.76,,,0.69,0.51,0.51,,
model_41,,0.52,,0.59,0.73,,0.8,0.79,,,,,0.74,,0.93,,,,,0.72,0.59,0.58,,,0.67,,,49.0,,0.65,,,0.74,0.74,0.41,,0.88,,0.78,,,0.8,,,,,,0.31,0.86,0.85,,,,,,,,,,,,,,0.5,0.39,0.51,0.85,0.5,,0.82,,,,0.88,,,0.88,0.64,0.64,0.65,0.48
model_65,0.55,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
model_38,,0.5,,0.57,0.71,,0.77,,0.73,,0.47,,,,,0.61,0.49,,,,,0.55,,,0.65,,,27.0,0.67,,0.66,,,0.71,,0.63,0.85,0.72,0.76,,,0.72,0.0,0.59,,0.59,0.62,,,,,,,,0.82,,,,0.59,,,,0.43,0.48,,0.49,,,0.67,0.77,,0.73,0.29,,0.82,0.76,,,0.63,0.62,0.47
model_130,0.69,,,,,,0.81,,,,,,,,,,0.52,0.63,,,0.58,0.59,,0.7,0.69,0.81,,35.0,0.59,,,,,0.7,,,0.87,,0.69,0.88,,,,,,,,,0.81,,,,,0.89,,,,,,,0.69,,,,,,,,,,,,,,,,0.85,,,,0.45
model_81,0.5,0.41,,0.47,0.59,,0.64,0.72,,0.48,,0.4,,0.6,0.52,0.48,0.44,0.47,0.62,,,0.63,0.44,0.59,0.62,,,71.0,,0.62,,0.51,0.54,0.56,,,0.67,0.6,0.59,,,0.61,0.06,0.54,,,,0.11,,0.62,,0.38,,,0.57,0.32,0.27,,0.57,0.65,0.56,,0.48,0.38,,,,0.47,,,,0.65,0.18,0.76,0.59,0.7,0.74,0.52,0.57,0.56,0.42
model_44,,,0.69,,0.7,0.77,,0.77,0.72,0.66,0.44,,0.69,0.61,0.71,0.58,0.47,,0.7,0.6,,0.54,0.51,0.64,0.64,,0.58,23.0,0.62,0.62,0.66,0.55,,0.68,,,,0.73,,,0.55,0.72,0.0,,,,0.64,,,0.8,,,0.48,0.86,,0.44,,0.57,0.58,0.76,0.69,,0.43,,0.38,0.47,,0.48,,0.75,,0.78,0.32,,0.82,0.75,0.83,,0.6,,0.45
model_73,,0.43,,,,,,,,,,,,,,,,0.47,,,0.45,,,,,,,48.0,,,,,,,,,0.72,,0.61,,,,0.0,,0.49,,0.47,,,,,,,0.72,,,0.15,,,,,,,,,,,,0.5,,,,,,,,,,,,
model_46,0.42,0.5,0.62,0.53,0.64,0.65,0.69,0.74,0.64,0.59,0.42,,,,,,0.45,,0.67,,,0.5,0.47,,0.58,,0.51,56.0,0.56,0.54,,,0.66,,0.36,,0.73,0.63,,,0.5,0.6,,0.57,0.53,0.57,,0.12,0.62,0.73,0.32,0.45,,,,0.42,0.27,,0.56,0.67,0.66,0.67,,0.42,0.35,0.38,0.67,0.42,0.64,,0.41,0.71,0.2,0.78,,0.71,0.72,,0.54,,0.44
model_111,,,,,,0.64,0.63,,,,,,,,,0.47,,,,,,,,,,,,45.0,0.41,,,,,,,,,,,,,,,,,,,,0.55,,,,0.4,,0.61,0.28,,,,,0.56,,0.46,,,,,,,,,0.59,,,,,0.64,,,,
model_30,,,0.69,0.57,0.73,0.74,0.78,,,,,0.39,,0.64,,,,,,0.65,,0.57,,,,,,24.0,,,0.68,,,,0.41,,,,0.77,,,0.76,0.0,,,,,,,,,,0.49,0.88,,0.45,0.38,,0.6,0.76,0.73,,0.44,,0.39,,0.82,0.48,,,,0.8,,,,,0.85,,,0.65,0.47
model_96,,,0.63,,0.63,,0.74,,,,,,,,,,,0.59,,,,0.69,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,0.73,,0.39,,0.51,0.9,,,,,0.62,,,0.69,,,,0.55,,,,0.72,,,,,,,,,,,0.5
model_74,0.38,,0.54,,0.57,0.58,,0.7,,,0.41,0.35,,0.53,0.6,0.58,,,0.59,0.42,,0.51,0.35,,,,0.48,66.0,0.47,,0.6,,,0.64,,,,0.64,,0.71,0.54,0.6,,0.56,,0.52,,0.14,0.52,0.63,,0.34,0.43,0.67,,0.31,,,,0.64,,,0.46,0.38,0.33,0.36,0.65,,,0.65,0.42,0.67,0.21,0.73,0.63,,,,,,
model_79,0.59,0.45,,,,0.67,0.71,,,,0.55,,0.66,,,,0.44,,0.64,0.53,0.55,0.66,,,0.65,,0.58,66.0,0.51,0.64,0.58,0.51,,0.63,0.42,,,,,,0.59,0.6,0.08,,0.55,,0.59,0.16,,0.61,,,,0.86,,,0.44,,,,,0.67,,,0.43,0.47,0.78,0.5,0.62,,0.53,0.76,0.24,,0.65,,0.72,,,,0.47
model_85,0.37,,,,,0.57,0.61,,,,,,,,0.48,,0.35,,,0.3,,0.47,,0.57,,,,58.0,,,,0.45,,0.58,,,,,0.52,0.69,,,,,,,,,,,,0.36,,,,,0.19,,,,,,,,,,,,,,,0.63,,,,,,,0.55,,
model_120,,,,,,,,,,,,,,,,,,0.37,0.6,,,,,0.48,,,,34.0,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,0.2,,,0.59,,0.59,,,,,,,,,0.43,,,,,,,,,,
model_105,,0.45,,0.54,,,0.74,0.74,0.7,0.64,0.4,,,0.55,0.78,,,,0.7,0.62,,0.47,,0.63,0.63,,,32.0,0.53,0.6,,,0.67,0.71,0.36,,,,0.64,0.87,0.63,0.7,0.0,,,0.6,,0.27,,,0.33,0.44,,0.85,,0.32,0.43,,0.57,0.69,0.67,0.65,0.5,,,0.47,,0.48,,,0.52,0.66,0.5,0.84,,0.71,0.76,0.55,,0.61,0.44
model_137,0.52,0.46,0.62,,0.69,0.7,0.77,0.75,,0.56,0.48,,0.66,0.58,,0.56,0.52,0.54,0.67,,0.55,0.58,0.44,0.68,,0.74,,61.0,,0.66,,0.57,,0.66,,,,,,0.82,0.59,0.69,,,,0.59,,0.3,0.75,,,0.43,0.51,,0.74,,,,0.57,0.68,0.65,0.68,0.51,,,,,0.5,,,0.48,0.75,,0.83,,0.74,0.8,0.58,0.58,,0.43
model_107,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_84,,0.46,,,0.68,0.66,0.7,0.75,,,,,,,,0.59,0.47,,,,,,,0.64,,,0.62,87.0,0.52,0.66,,,,0.68,,0.61,,,,,0.6,,,,0.55,,,,0.77,,0.39,,,,,,,,0.6,,0.6,0.68,0.54,,,,0.74,,,,,,,,,0.75,,,,0.66,
model_101,0.54,,,,,,,,0.7,,,0.3,,,,,0.55,,,0.63,0.5,0.48,0.52,0.63,0.64,,,45.0,,,,0.58,,0.7,,,,0.73,,0.88,,,0.0,,,0.61,,,,,,,,,,,,,,,,,,,0.31,,0.73,0.48,,,,0.68,,,,,,0.56,,,0.45
model_127,0.4,0.41,,,0.57,,0.61,0.7,0.57,0.48,0.44,,,,0.43,,,,0.5,,0.51,0.49,,0.53,,0.68,0.49,63.0,,,,0.49,,,0.34,0.54,,0.6,,,,,,0.47,,,,0.08,0.49,0.53,,0.36,0.43,0.68,0.6,0.26,,,,,0.58,,,,,,,0.45,0.54,,0.37,,0.12,,,,0.69,,,,0.37
model_50,0.29,0.4,0.44,0.48,0.56,,,,,0.48,,,,,,0.52,,0.47,0.57,0.33,0.5,,,0.55,,,,59.0,0.47,,,,0.57,,,0.56,0.61,,0.63,,0.49,,0.0,,0.52,,0.51,0.09,,,,,,0.72,0.6,,0.15,,,,,,0.36,,,0.31,,,0.61,,,0.67,,,,,,,,,
