,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_110,,,,,,,,,,,,,,,,,,,373.0,,,0.797311,,,,,,,,,,,,,,,,,,,,,,0.341317,,0.419945,,,,,,,,,0.52059,,,,0.732686,,,,,,,,,,,,0.521404,,,,,,,,,
model_104,,,,,,,,,,,,,,,,,,0.809201,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777293,,,,,,,,,0.596177,,,,,,,,,,,
model_138,,,,,,,,,,,,,0.564273,,,,,,341.0,0.565545,,,,,,0.605017,,,,,,,,,,,,0.340316,,,,0.499312,,,,,0.676124,,0.854455,,,,,,,,,,,,,,0.592388,,,0.584919,,,,,,,,,,,,,,
model_8,,,,,,,,,,,,,,,,,,,2138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460013,,,,,,,,,,,,,,,,,,,,,,,0.471895,,,,,,,,,,,
model_89,,,,,,,,,,,,,,,,,0.762868,,1978.0,,0.702141,,0.750054,,,0.56463,0.67758,,,,,,,,,,,,0.64203,,,,,,0.600823,,,,,0.786502,0.843185,,,,0.529253,0.647147,,,0.902112,,,,,,,,,0.891672,,,,,,,,,0.674593,,0.705031,
model_62,,0.551035,,,,,,,,,,,,,,,,,2010.0,,,,0.738409,,,,0.689238,,,0.45563,,0.468605,,,,,,0.577223,0.538266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82889
model_76,,0.57362,,0.813835,,,,,,,,,,,,,,,970.0,,,,,,,,,,,,,,,,,,,,,0.75657,,,,,,,,,,,,,,,0.529253,,,,,,,,,,,,,,,,0.552633,,,,,,0.674593,,,
model_77,,,,,,,,0.623042,,,,,,,,,,,2154.0,,0.743131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_63,,0.569515,0.849825,0.799342,0.758951,,,,,0.280106,0.767667,0.747595,,,0.530373,0.698694,,0.744161,1210.0,,,,,,,0.588877,0.717421,,,,,,0.648661,,,0.493271,0.864346,,0.736743,0.807214,0.901649,,,,,,,,,0.78211,0.843185,,,0.601634,0.529253,0.632781,,,,,0.78285,,0.53935,0.876742,,,,,,,,,0.506683,0.5881,,,,0.719981,,
model_88,0.667088,,,,,,,,,,,,,,,,,,4474.0,,,,,,,,,,,,,,,,,,,,,0.723741,0.830774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_139,,,0.847004,,,0.756318,,0.887127,,,,,,,,,,,1061.0,,,,,0.383293,,,,0.550032,,,,,,,,,,,0.517882,,,0.428056,,,0.631429,,,0.730173,0.880072,,,,,,,,,,,,,,,0.939942,,,,0.84913,,0.766379,,,,,,,,,,
model_105,,,,,0.8385,0.756318,,0.887127,,,,,,,,0.858453,0.652237,,181.0,,,0.797311,,0.415124,,0.619431,0.74398,,,,0.34136,,0.719091,0.63616,,0.533442,,,0.460199,0.586483,0.59651,0.499312,0.912612,,,0.419945,,,0.880072,,,,,,,,0.0,,,,,0.0,,0.939942,,,,,0.596177,0.766379,,0.609665,0.459078,0.489154,0.565224,0.636182,,,,
