,remote,sandwich,motorcycle,horse,suitcase,umbrella,frisbee,tie,bottle,skis,dog,cat,fork,broccoli,cell phone,airplane,teddy bear,toothbrush,elephant,handbag,cost,car,truck,orange,giraffe,mouse,fire hydrant,snowboard,kite,person,baseball bat,chair,bed,skateboard,tv,knife,wine glass,laptop,sink,bear,book,bus,oven,microwave,bowl,cup,parking meter,bench,banana,zebra,toilet,couch,bird,cake,baseball glove,bicycle,spoon,clock,traffic light,tennis racket,refrigerator,carrot,vase,sports ball,dining table,keyboard,toaster,train,stop sign,pizza,apple,cow,backpack,potted plant,surfboard,scissors,boat,hot dog,sheep,donut
model_107,,0.52059,,0.653864,,,,0.605692,,,,,,,,0.734631,,,,0.344309,36.8,0.662699,0.496689,,,,,0.442524,0.61344,,,,,0.686553,,0.299598,,,,,,,,,,,,,,,,0.756318,,,,,,,,,,,,,,,0.23806,,,,,,,,,,,,0.56724,
model_113,,0.52059,,,,,,,,,,,,,0.521404,0.847004,,0.0,0.797311,0.411707,36.8,,,,,0.788476,,,0.63616,0.740329,,,0.43069,,,0.499312,,,0.809858,0.725915,0.501956,,0.373268,,,0.636182,1.0,,,,,0.756318,,0.713228,,,,0.828365,,0.834759,,,,,,,,0.542529,,0.796611,,,,,,,0.581784,0.710219,0.573827,0.846107
model_49,0.607526,0.501322,,,,,0.771442,0.652705,,,,,0.623042,,,,0.792245,,,0.516619,110.4,,,0.582406,,0.762722,,,,0.767659,,,,,,,0.615075,,,,,,,,0.576077,,0.684066,0.593303,0.509012,,0.790613,0.681076,0.518449,,,0.816912,,0.769913,,,,,0.500495,0.705648,,0.692403,0.389532,,,0.717218,0.469769,0.767678,,0.50096,,,,,,
model_75,,,,,,,,,,,,,,0.493153,,,,,,,110.4,,,,,,,,,,0.747265,,,,,0.635687,,0.731246,,,,,,,,,,,,,,,,,,,,,,0.72373,,,,,,,,,,,,,,0.501,,,0.693965,,,
model_61,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588216,
model_60,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,0.733434,,,,,,,,,,,,,,,,,,,,,,,,,,0.631458,,,,,,,,,,,0.704619,,,,0.50601,,,,,,0.756007
model_74,,,,0.91744,,,,,,,,,0.589238,,0.53909,,,,,,110.4,,,0.582406,0.92561,,,,0.608784,,,,0.719981,,,,,,,,,,,,,,0.741071,,0.488534,,,,,0.782887,0.801495,,,,,,0.719116,,,,,0.665305,,,,,0.453384,,,,,,,,,0.756007
model_48,,,,,0.640139,,0.771442,,,,,0.834106,,,,0.85281,,0.350332,,,110.4,,0.626603,,,,,0.602514,0.58202,,,,,0.725922,,,0.604946,,,,,0.752666,0.647738,,0.553652,,0.632781,,0.481993,,0.794107,,0.507852,0.736154,,,0.395342,0.746997,0.634336,0.723285,,,0.493249,0.7104,,,,,,0.712413,0.428474,,0.544725,,,0.22332,0.683035,0.746192,0.590585,
model_112,,,,,,0.524235,,,,,,,,,,,,,,,36.8,,,0.619431,,,,,,0.739973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_106,0.340316,,,,0.530198,,,,0.489154,,,0.564732,0.887127,,,,,,,,36.8,,,0.600391,,,0.805357,,0.63616,0.740578,0.676124,0.592388,0.597356,,0.80549,,,0.858453,,0.725915,0.510726,,0.34136,0.472189,,,,,,,0.766379,,0.550032,0.748836,0.586483,,,,,,0.741042,,,0.727058,,0.633228,1.0,,0.730173,,,,,0.584919,,0.0,,0.710219,0.573827,
model_110,,,,0.732686,,,,,0.485107,,,,0.682276,,,,,,0.797311,,36.8,0.673358,,,,0.756477,,,,0.739954,,,0.43069,,0.809201,,0.537845,0.858453,,0.725915,0.519882,,,,,,,,,,0.740575,,,,,,,,,,,0.407429,,,,,1.0,0.542529,,,,0.66841,0.415124,0.569768,,,0.609665,,0.573827,
model_104,,0.52059,0.705841,0.732686,0.565545,0.524235,,,,,,,,0.533442,,,,0.0,,,36.8,,0.512604,,0.939942,,,,0.622027,0.738948,,,,,,,,,,,0.519882,,,0.462326,,,,,0.473582,,,0.756318,,0.748836,,,,,,0.830078,0.851171,0.407429,,,0.596684,,,,0.608893,,,,0.383293,,,,,,,0.846107
model_138,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,0.858453,,,,,,,,,,,,,0.766379,,,,,0.766905,,,,,,,,,,,,,,,,,,,,,,,,
model_8,,,,,,,0.709961,,,0.58219,0.825588,0.887108,,,,,0.787837,,,,110.4,,,0.557883,0.843466,,,0.53066,,0.765273,,0.535252,0.741334,,0.724063,,,,,0.873891,,,,,,,,0.560281,,,,,,0.773296,0.801495,,,0.749782,0.626687,,,0.530373,,,0.600857,,,,0.737631,0.689532,,0.754581,,,,,,0.77064,,
model_89,,,,,0.654868,0.598653,,,0.581602,,0.847915,,0.623042,0.476372,,,0.787837,,,,110.4,,,0.56463,0.928609,,0.842967,,0.615598,0.76589,0.768854,,,0.705031,,,0.602862,0.721047,0.767667,0.806122,,0.788382,,,0.570316,0.625247,,,,0.891672,,0.661892,0.521845,0.782887,0.807214,0.803537,,0.750054,0.634336,,,0.530373,0.514795,,,,,,,,,0.779433,0.535813,,,0.400854,0.671933,,0.62935,
model_62,,,,,,0.595461,,0.614056,,,,,,,,0.767289,,0.531852,,,110.4,,0.630399,,,,,,0.595599,,,,,,,,0.575047,,,,,,,,,,,,0.468605,,,,,,,,,,,,,,,,,,,,,,,0.754581,,,,,,0.715769,,
model_76,,,,,,,,,,0.613553,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,0.747614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.620669,
model_77,,,,,,,,,,,,,,,,,0.792245,,,,110.4,,,,,,,,,,,,,,,,0.600903,,,,,,,,,,,,,0.891672,,0.661892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_63,0.591106,,,,,,0.758951,,0.5881,,,,,,,,,,,,110.4,,,,,,,,0.608784,,,,,,,,,,0.767667,,0.461542,,,,,0.632233,,,0.495255,,,,,,,,,,,,,0.530373,,,,,,,,,,,,0.506134,0.843185,,,,,
model_88,,,,0.914537,0.608369,,,0.603467,,,,,,,,,,,,,110.4,,,0.555836,,,,,,,,,,,,,,0.705476,,,,0.726044,,,,0.609478,0.552116,,0.488534,,,,,,,,0.400174,,,,,,0.507537,,,,,,,,,,,,,,,,,
model_139,,,0.675878,0.732686,,,,,0.480996,,0.648438,,,,0.521404,,,,,,36.8,,,,0.939942,,,,,,,,,,,0.428056,,,,,0.519882,0.880072,,,,,,,0.499897,,0.766379,,,,,,,,0.64851,,0.851171,0.407429,,,0.631429,,,0.568225,,,,0.66841,,,0.663691,,,,,0.814761
model_105,,,,,,,,,,,,,,0.533442,0.521404,,,,,,36.8,,,,0.939942,,,,,,0.627494,,,0.734181,,,0.523759,,,0.725915,,,,,0.619405,,,,,,,,0.550032,,,,,0.828365,,0.834759,,0.407429,0.596177,,,,0.319083,0.568225,0.730173,,0.419945,,0.415124,0.573584,,,0.609665,,0.565224,
model_111,,,0.705841,,,,,,,,,,,0.523106,,,,,,,36.8,0.672319,,,,,0.805357,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.748836,,,,,,,,0.407429,,,,,,,,,,,,,,,,,,
model_129,,,,,0.565545,,,,,,,,,,,,,,0.797311,,36.8,,,0.619431,,,,,,,,,0.597356,,,0.499312,0.537845,0.858453,,,,0.880072,0.373268,,,,,,0.470473,,,,,,,,,,,,,,,0.737879,,,,0.568225,,,,0.655623,,,0.633272,,,,,
model_115,0.340316,,,,,,,,,,,,,,,,,,,,36.8,,0.512604,,,,,,,,,,,0.734181,,,,,0.809858,,,,,0.517882,,,,0.701072,,,0.766379,,0.541275,0.748836,,,,,,,,0.39288,,,,,,,,,,,,,,,,0.710219,,
model_101,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,0.597356,,,0.499312,0.537845,,,,,,,,,,,,,,,0.711457,,,0.586483,,,0.825875,,0.830078,,,0.596177,0.737879,,,1.0,0.568225,,,0.419945,,,,,,,,,
model_67,,,,,0.636046,,,,,,0.778167,,,,,,,,,,110.4,,,0.550925,,,,,,,,,0.698772,,0.729422,,,,,,,,,,,,,,,,,,,,,,,,,,0.656698,0.499543,,,,,,,,,,0.762687,,,,,0.643215,,,
model_73,,,0.820464,,0.654868,0.605255,0.729739,0.616039,0.573719,,,,0.60846,0.484617,,0.845976,,,,,110.4,,0.612349,,,0.72452,,,,0.765871,0.726855,,0.711681,,,,0.604946,,,,,,,,0.566078,,0.725457,,,,,0.694594,,,,0.803537,,0.761156,,0.712142,,0.531141,,,,0.678583,,0.832739,,,,0.770096,,0.500979,0.850824,0.501423,0.671268,,,0.751185
model_72,,,0.78721,,,0.598653,,,,,0.847915,,,,0.541106,,0.745765,0.31079,,,110.4,,,,,,,,,0.763758,,,,,,,,,,0.722128,,0.752666,,,,,,,,,,,,,,,0.382527,,,,,,,,,0.645737,0.280106,,,,,,,,,,0.64638,,0.617429,
model_66,,,,0.916013,,0.615376,,,,0.62246,,,0.60846,,0.545777,,0.755769,,,,110.4,0.720566,,,,0.72452,,0.674593,0.608784,,,,0.741334,,,0.630652,,0.745391,,,,,,0.736743,,,0.632781,,,,,0.668075,,,,,0.419528,,,0.740923,,,,,,,,,,,,,,,0.80705,,,,,0.756007
model_99,,,,,,,,,,,,,,,,,,0.295308,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784591,0.816912,,0.739065,,,,,,,,0.665305,,,,,,,0.549941,,,,,,,
model_100,,,,,,,,,,,,,,,0.552633,,,,,,110.4,,,,0.928609,,,,0.608784,,,,,0.748089,,,,,,0.873891,,,,,0.565307,,,,,,,,0.521845,,,,,,,,,0.518495,,,,,,,,,0.441612,,,,,,,,,
model_114,,,,,,,0.800386,0.686937,,,,,,,,,,,,,36.8,0.673358,,0.619431,,,,,0.627701,,,,,,,,,,,,,,,,,,,,0.499897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_128,,,,0.7158,,,,,,,,,,,,,,0.0,,,36.8,,,,,,,,,,,,,,,,,,,,,0.880072,0.373268,,,,,,,,,,,0.748836,,,,,,,,,,,,,,,,,,,,,,,0.609665,,,
model_102,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,0.739452,,,,,,,,0.858453,,0.725915,,,,,,,,,,,,0.756318,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
model_116,,,,,,0.524235,,,,,,,,0.523106,,,,,,0.459078,36.8,0.670221,,,,,,,,,,,,0.726461,,0.499312,,0.858453,,,,,,0.517882,0.605442,,,0.650369,,,,,0.550032,0.748836,0.586483,,,0.828365,,0.812386,,,,0.710889,,,,,,0.796611,0.380041,,,,,,,,,
model_70,0.597712,,0.829221,0.90045,,,,,,,,0.90001,,0.497577,0.552633,,,0.531546,,0.508359,110.4,0.721618,,,,,,,,,0.747265,,,,,,,,,,0.464062,,,0.686129,,,,,,,,,,,,,,,,,0.697353,0.536996,,0.722058,,,,,0.750761,,,,,,,,0.690583,,,
model_64,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,0.541298,,0.751876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617429,
model_58,,,,,,,,,,,,,,,0.552633,,,,,,110.4,,0.626603,,,,,,,,,,,,0.729422,,,,,,,,,,,,0.741071,,,,0.833459,,,,,,,,,,0.676868,,,,,,,,,,,,,,,,,,,
model_59,,,,,,0.602066,,,,,,,,,,,,,,,110.4,,,,,,,,,,,0.539183,,,,,,,,,0.458145,,,,,,,,,,,0.66224,,,,,,,,,,,,,,,,,,,,,,,,,0.675951,,,
model_65,0.588209,,,,0.64742,,,,0.579718,,,,,,,,,,,,110.4,,,,,,,,0.608784,,,,,,,,,,,,0.463665,0.764806,,,,0.627022,,,,,,,0.525551,,,,,0.776269,,,,,,,,,,,,,,,,,,,0.679532,,0.620669,
model_71,,,,,,,0.74707,,,,,,,0.484879,,,,,,,110.4,,,,,,,,,,,,0.731509,,,,,,,,,,,,,,0.665179,,,,,,,0.782887,0.807214,,,0.746904,,,,,,,,,,,0.750761,,,,0.533922,,,,0.664777,,,
model_117,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.470473,,,,,0.745241,,,,,,,,,,,0.596684,0.633228,,,,0.771016,,,,,,,,,,
model_103,,,,0.652644,,,,0.536019,,0.256869,,,0.554851,,,,,,,,36.8,,,,,,0.631219,0.211262,,,,,,,,,,,0.743557,,,,,0.289747,,,,,,,,,,,,0.646398,,,,0.66912,0.364549,,0.583097,,,,,0.456072,,,,0.627082,,,,,,,,
model_126,,,,,,,0.8385,,,,,,,0.533442,,,,,,,36.8,,,0.610143,,,,,0.622027,,,,,,,,,,,,,,,,,,,,,,,0.756318,,,,,,,,,,,,0.74398,,,,,0.711002,,,,,,,0.0,,,,
model_132,,,,,,,0.832109,0.686937,,0.315391,,,,,,,,,,,36.8,,,,,,,,,,0.676124,,,0.734181,,,,0.854329,,0.622213,,,,,,,,,,,,,0.550032,0.665679,,,,,0.630341,,,,,,0.533674,,,0.568225,,,,,,,,0.0,,,,
model_2,,,,,,,,,,,,,,,,,,,,0.438532,110.4,,,,,,0.543906,0.447985,0.53725,,,,,0.652477,,,,,0.644499,,,0.70084,,,,,,0.515134,,,,,,,,0.761966,,,,0.623116,0.636823,,,,,,,,,,0.337003,0.683033,,,0.716705,,,,,
model_97,,0.39627,,,,,,,,,,,,,,0.76712,0.667593,,,,110.4,,0.565402,,0.822925,0.673891,,0.515125,0.545393,,,,,,,,,,0.62708,,,,,,,0.599397,,,,0.826676,,,,,,,,0.709043,,,,,,,,,0.141362,,,,,0.743685,0.504021,,0.753247,0.222459,,,,0.682865
model_83,,,,0.873754,0.654868,,,0.657364,0.582677,0.599406,,0.901649,0.568541,0.493153,,,,0.419111,,,110.4,0.717318,0.616331,0.57989,0.875339,,0.827788,0.657827,,,0.768854,0.53935,,,,,,,0.763235,,,0.789086,,,0.561321,,,,0.495382,,0.790613,,,,,0.803537,,,,0.731074,0.697353,0.518038,0.507537,,0.594346,,,,,,,,0.543712,,0.843185,0.334153,0.67565,,0.62583,0.751185
model_68,,,,,,0.588807,,,,0.608431,,,0.60407,,,,,,,,110.4,,,0.575728,,0.743131,,,0.602119,0.765378,,,,0.721801,,,,,0.778083,,,,,,,0.627439,,,,0.890486,,,,,,,,,0.623878,,0.647492,0.518038,0.493439,,0.595902,0.665305,,,0.737631,,,,,,,,,,0.612225,0.736622
model_54,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,0.73825,0.630652,,,,0.868356,,,,,,,,,,,,,,0.745943,,,,,,,,,,,0.604149,,,,,,,,,,,,,,,
model_40,,,,,,,,,,0.619181,,,,,,,,,,,110.4,,,,,,0.641232,,,,,,,,,,,0.662898,,,,,,0.62279,0.548965,0.608064,0.536361,,,,,,,,,,,,,,,,,,0.582849,,,,,,0.421254,,,0.490979,,,,,,
model_41,,,,,,0.615376,,0.643948,0.584851,,,0.887108,0.599079,,,,,,,0.516619,110.4,0.721093,,0.57338,,,,,,,,,0.680764,,0.74138,,,,,,,0.786494,0.670606,0.686129,,0.631869,,0.593303,,0.89923,0.793321,,,0.782887,,,,,,0.717782,,,,,,0.665305,,,,0.709196,0.443684,0.778194,,0.501,,,,,0.609251,0.751185
model_55,0.607526,,0.813835,,,,,,,,,,,0.497577,,,,,,,110.4,,,,,,,0.645551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708366,,,,,,,,0.895563,,,,,,0.506262,,,,,,
model_69,,,,,0.650851,,,,,,0.866925,,,,0.546943,,,,,,110.4,,0.599896,0.57338,,,,,,,,,,,,,,,,0.873891,,,,,,,0.529613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_82,,,0.829221,,,,,,,,,,,0.472812,,,,,0.87058,,110.4,,,,,0.756297,,,,,,,,,,,,,,,,,,0.686129,,,,0.571201,,,,0.643506,,,,,,0.767235,,,,,,,0.600357,0.678583,,,,0.712413,,,,,0.838728,,0.672105,,,
model_96,,,0.818548,,,,,,0.584046,,0.851674,,,,,,,,,,110.4,,,0.57989,,,,,,,,,,,0.704161,,0.598879,0.72739,,0.83864,,,,,,,,,,0.911419,,,,0.730799,,,0.419528,,0.634336,,0.667088,,,,,,0.325856,,,0.717218,,,0.532385,0.494108,,,,,,
model_3,,,,,,,,,,,,,,0.493271,,,,,,,110.4,,,,,,,,,,,,,,,0.619167,,,,,,,,,,,,,,,,,,,,,,,,0.744052,,,,,,,,,,0.707285,,,0.532385,,,,,,,
